,Unnamed: 0,EMITENT_FULL_NAME,issuerid
0,0,"Акционерный коммерческий банк ""Держава"" публичное акционерное общество, , DERZP, Держава, DERZHAVA, DERZ, , , ,державы ,держав ,державам ,державы ,державами ,державах ,держава ,державы ,державе ,державу ,державой ,державе ",1
1,1,"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество), CBOM, , Московский кредитный банк, мкб, Credit Bank of Moscow, Credit Bank, , ,московские кредитные банки ,московских кредитных банков ,московским кредитным банкам ,московских кредитные банки ,московскими кредитными банками ,московских кредитных банках ,московский кредитный банк ,московского кредитного банка ,московскому кредитному банку ,московского кредитный банк ,московским кредитным банком ,московском кредитном банке ",2
2,2,"""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество), , RDRB, Российский акционерный коммерческий дорожный банк, РДБанк, Дорожный банк, Russian public joint-stock commercial roads Bank, RosDorBank, РосДорБанк,российские акционерные коммерческие дорожные банки ,российских акционерных коммерческих дорожных банков ,российским акционерным коммерческим дорожным банкам ,российских акционерных коммерческих дорожных банки ,российскими акционерными коммерческими дорожными банками ,российских акционерных коммерческих дорожных банках ,российский акционерный коммерческий дорожный банк ,российского акционерного коммерческого дорожного банка ,российскому акционерному коммерческому дорожному банку ,российского акционерного коммерческого дорожного банк ,российским акционерным коммерческим дорожным банком ,российском акционерном коммерческом дорожном банке ",3
3,3,"Акционерная компания ""АЛРОСА"" (публичное акционерное общество), ALRS, , алроса, alrosa, , , , ,алроса ,алроса ,алроса ,алроса ,алроса ,алроса ,алрос ,алроса ,алросу ,алрос ,алросом ,алросе ",4
4,4,"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество, , AVAN, Авангард, AVANGARD, , , , ,авангарды ,авангардов ,авангардам ,авангарды ,авангардами ,авангардах ,авангард ,авангарда ,авангарду ,авангард ,авангардом ,авангарде ",5
5,5,"акционерный коммерческий банк ""Приморье""  (публичное акционерное общество), , PRMB, АКБ Приморье, АКБ ""Приморье"", банк ""Приморье"", банк Приморье, primbank, PJSCB ""Primorye"",акб приморья ,акб приморий ,акб приморьям ,акб приморья ,акб приморьями ,акб приморьях ,акб приморье ,акб приморья ,акб приморью ,акб приморье ,акб приморьем ,акб приморье ",6
6,6,"Банк ВТБ (публичное акционерное общество), VTBR, , ВТБ, VTB, , , , ,ВТБ ,ВТБ ,ВТБ ,ВТБ ,ВТБ ,ВТБ ,втб ,втб ,втб ,втб ,втб ,втб ",7
7,7,"Иркутское публичное акционерное общество энергетики и электрификации, , IRGZ, Иркутскэнерго, ИркЭнерго, Irkutskenergo, , , ,Иркутскэнерго ,Иркутскэнерго ,Иркутскэнерго ,Иркутскэнерго ,Иркутскэнерго ,Иркутскэнерго ,иркутскэнерго ,иркутскэнерго ,иркутскэнерго ,иркутскэнерго ,иркутскэнерго ,иркутскэнерго ",8
8,8,"Казанское публичное акционерное общество ""Органический синтез"", , KZOS, Органический синтез, Казаньоргсинтез, kazanorgsintez, , , ,органические синтезы ,органических синтезов ,органическим синтезам ,органических синтезы ,органическими синтезами ,органических синтезах ,органический синтез ,органического синтеза ,органическому синтезу ,органического синтез ,органическим синтезом ,органическом синтезе ",9
9,9,"Ленское золотодобывающее публичное акционерное общество ""Лензолото"", , LNZL, Лензолото, Lenzoloto, , , , ,Лензолото ,Лензолото ,Лензолото ,Лензолото ,Лензолото ,Лензолото ,лензолото ,лензолота ,лензолоту ,лензолото ,лензолотом ,лензолоте ",10
10,10,"Международная компания публичное акционерное общество ""Объединённая Компания ""РУСАЛ"", RUAL, , Объединённая компания ""Русал"", русал, rusal, , , ,объединённые компании ""Русал"" ,объединённых компаний ""Русал"" ,объединённым компаниям ""Русал"" ,объединённых компании ""Русал"" ,объединёнными компаниями ""Русал"" ,объединённых компаниях ""Русал"" ,объединённая компания ""Русал"" ,объединённой компании ""Русал"" ,объединённой компании ""Русал"" ,объединённую компанию ""Русал"" ,объединённой компанией ""Русал"" ,объединённой компании ""Русал"" ",11
11,11,"Международная компания публичное акционерное общество ""ЭН+ ГРУП"", ENPG, ENPL, эн+ груп, En+ Group, EN+ Group Plc, , , ,ENPL ,ENPL ,ENPL ,ENPL ,ENPL ,ENPL ,ENPL ,ENPL ,ENPL ,ENPL ,ENPL ,ENPL ",12
12,12,"Открытое акционерное общество ""Белон"", , BLNG, Белон , belon, , , , ,белоны ,белон ,белонам ,белон ,белонами ,белонах ,белона ,белоны ,белоне ,белону ,белоной ,белоне ",13
